site_id,latitude,longitude,week_start,visitor_count
node,30.2834028,-97.7413494,2025-06-01,1
node,30.2668307,-97.7498946,2025-06-01,1
node,30.2628481,-97.7142906,2025-06-01,1
node,30.4002151,-97.7232854,2025-06-01,1
node,30.4461154,-97.7862149,2025-06-01,1
node,30.2677245,-97.6938995,2025-06-01,1
node,30.2673527,-97.6931123,2025-06-01,1
node,30.3715088,-97.7245372,2025-06-01,1
node,30.2793122,-97.687496,2025-06-01,1
node,30.3365961,-97.717669,2025-06-01,1
node,30.2652973,-97.7482013,2025-06-01,1
node,30.2950159,-97.7364325,2025-06-01,1
node,30.2621453,-97.7587291,2025-06-01,1
node,30.1371925,-97.7957767,2025-06-01,1
node,30.2424096,-97.7275435,2025-06-01,1
node,30.4769275,-97.8051037,2025-06-01,1
node,30.478409,-97.8004323,2025-06-01,1
node,30.4794407,-97.7998915,2025-06-01,1
node,30.3009981,-97.7390514,2025-06-01,1
node,30.3251243,-97.7148098,2025-06-01,1
node,30.3239159,-97.7137633,2025-06-01,1
node,30.260105,-97.7388864,2025-06-01,1
node,30.2675657,-97.7521411,2025-06-01,1
node,30.2332793,-97.7919137,2025-06-01,1
node,30.1631013,-97.793505,2025-06-01,1
node,30.2340388,-97.8284453,2025-06-01,1
node,30.3348258,-97.719101,2025-06-01,1
node,30.3259723,-97.7170784,2025-06-01,1
node,30.2606838,-97.7471138,2025-06-01,1
node,30.2630655,-97.7138253,2025-06-01,1
node,30.2021187,-97.6688216,2025-06-01,1
node,30.454215,-97.7926398,2025-06-01,1
node,30.2774682,-97.734812,2025-06-01,1
node,30.2687874,-97.7421935,2025-06-01,1
node,30.2957475,-97.7421673,2025-06-01,1
node,30.2477249,-97.7497778,2025-06-01,1
node,30.25576,-97.7623743,2025-06-01,1
node,30.282934,-97.7761478,2025-06-01,1
node,30.27049,-97.7532554,2025-06-01,1
node,30.2022619,-97.6654663,2025-06-01,1
node,30.2478149,-97.7746824,2025-06-01,1
node,30.3063809,-97.709145,2025-06-01,1
node,30.2474739,-97.7758453,2025-06-01,1
node,30.2653919,-97.7428231,2025-06-01,1
node,30.3376096,-97.7175781,2025-06-01,1
node,30.4780176,-97.7664202,2025-06-01,1
node,30.2496313,-97.894979,2025-06-01,1
node,30.27351,-97.7223157,2025-06-01,1
node,30.2850801,-97.7447361,2025-06-01,1
